Latex Natural,QUIMICA IBEROAMERICANA  SA DE CV,QUIMICA IBEROAMERICANA  SA DE CV,,1.97,,,,s
Caolin,MICRO SA DE CV,MICRO SA DE CV,,1.97,,,,s
AGENTE VULCANIZANTE PARA LATEX,MICRO SA DE CV,MICRO SA DE CV,,1.97,,,,s
Elastico Negro 2 Cm,Ganon distribuidora de Habilitaciones SAPI DE CV,Ganon distribuidora de Habilitaciones SAPI DE CV,,1.97,,,,s
Hilo Blanco Para Coser,Texper SA DE CV,Texper SA DE CV,,1.97,,,,s
Tela Yute Negro De 90 Cm De Ancho,Hector Jesus Guzman Lopez,Hector Jesus Guzman Lopez,,1.97,,,,s
