Latex Natural,QUIMICA IBEROAMERICANA  SA DE CV,QUIMICA IBEROAMERICANA  SA DE CV,,1.04,,,,s
Caolin,MICRO SA DE CV,MICRO SA DE CV,,1.04,,,,s
AGENTE VULCANIZANTE PARA LATEX,MICRO SA DE CV,MICRO SA DE CV,,1.04,,,,s
Pegamento instantaneo Industrial bote 20 gms,Industrias Kola Loka SA DE CV,Industrias Kola Loka SA DE CV,,1.04,,,,s
Peluche Blanco Extralargo Estilo 100 Ancho 1.50,Pieltex SA DE CV,Pieltex SA DE CV,,1.04,,,,s
Sujetadocumentos 19Mm 3/4 pulg,Irma Hernandez Coconi,Irma Hernandez Coconi,,1.04,,,,s
