Latex Natural,QUIMICA IBEROAMERICANA  SA DE CV,QUIMICA IBEROAMERICANA  SA DE CV,,5.82,,,,s
Caolin,MICRO SA DE CV,MICRO SA DE CV,,5.82,,,,s
AGENTE VULCANIZANTE PARA LATEX,MICRO SA DE CV,MICRO SA DE CV,,5.82,,,,s
Pegamento instantaneo Industrial bote 20 gms,Industrias Kola Loka SA DE CV,Industrias Kola Loka SA DE CV,,5.82,,,,s
Tela Yute Negro De 90 Cm De Ancho,Hector Jesus Guzman Lopez,Hector Jesus Guzman Lopez,,5.82,,,,s
Esponja 5 Cm de Grosor X 1.20X190,PROVEEDOR NO ENCONTRADO,PROVEEDOR NO ENCONTRADO,,5.82,,,,s
