Latex Natural,QUIMICA IBEROAMERICANA  SA DE CV,QUIMICA IBEROAMERICANA  SA DE CV,,1.74,,,,s
Caolin,MICRO SA DE CV,MICRO SA DE CV,,1.74,,,,s
AGENTE VULCANIZANTE PARA LATEX,MICRO SA DE CV,MICRO SA DE CV,,1.74,,,,s
Esponja Poliform 1/2 pulgada,PROVEEDOR NO ENCONTRADO,PROVEEDOR NO ENCONTRADO,,1.74,,,,s
Pegamento Bond Plus,Adhesivos de Cuernavaca  SA DE CV,Adhesivos de Cuernavaca  SA DE CV,,1.74,,,,s
Elastico Negro De 1 Cm,Ganon distribuidora de Habilitaciones SAPI DE CV,Ganon distribuidora de Habilitaciones SAPI DE CV,,1.74,,,,s
