Latex Natural,QUIMICA IBEROAMERICANA  SA DE CV,QUIMICA IBEROAMERICANA  SA DE CV,,2.32,,,,s
Caolin,MICRO SA DE CV,MICRO SA DE CV,,2.32,,,,s
AGENTE VULCANIZANTE PARA LATEX,MICRO SA DE CV,MICRO SA DE CV,,2.32,,,,s
Hilo Negro Para Costura,Texper SA DE CV,Texper SA DE CV,,2.32,,,,s
Elastico Negro 2 Cm,Ganon distribuidora de Habilitaciones SAPI DE CV,Ganon distribuidora de Habilitaciones SAPI DE CV,,2.32,,,,s
Tela Encaje Strech Negro Flor G 1.50 Mts Ancho,Textiles opertel SA DE CV,Textiles opertel SA DE CV,,2.32,,,,s
