Hilo Negro Para Costura,Texper SA DE CV,Texper SA DE CV,,21.00,,,,s
Elastico Negro De 1 Cm,Ganon distribuidora de Habilitaciones SAPI DE CV,Ganon distribuidora de Habilitaciones SAPI DE CV,,21.00,,,,s
Esponja con forro de 5mm de 1.50 de ancho,Hector Jesus Guzman Lopez,Hector Jesus Guzman Lopez,,21.00,,,,s
Peluche Verde Jaspeado Extralargo Ancho 1.50,PROVEEDOR NO ENCONTRADO,PROVEEDOR NO ENCONTRADO,,21.00,,,,s
Tela Popelina 1.50 Ancho Color Negro,Carlos Alberto Guzman Rodriguez,Carlos Alberto Guzman Rodriguez,,21.00,,,,s
