Latex Natural,QUIMICA IBEROAMERICANA  SA DE CV,QUIMICA IBEROAMERICANA  SA DE CV,,4.19,,,,s
Caolin,MICRO SA DE CV,MICRO SA DE CV,,4.19,,,,s
AGENTE VULCANIZANTE PARA LATEX,MICRO SA DE CV,MICRO SA DE CV,,4.19,,,,s
Boton Negro 3.7 cm 4 orificios,PROVEEDOR NO ENCONTRADO,PROVEEDOR NO ENCONTRADO,,4.19,,,,s
Lazo Henequen 4Mm 1/16,PROVEEDOR NO ENCONTRADO,PROVEEDOR NO ENCONTRADO,,4.19,,,,s
