Latex Natural,QUIMICA IBEROAMERICANA  SA DE CV,QUIMICA IBEROAMERICANA  SA DE CV,,7.68,,,,s
Caolin,MICRO SA DE CV,MICRO SA DE CV,,7.68,,,,s
AGENTE VULCANIZANTE PARA LATEX,MICRO SA DE CV,MICRO SA DE CV,,7.68,,,,s
