Latex Natural,QUIMICA IBEROAMERICANA  SA DE CV,QUIMICA IBEROAMERICANA  SA DE CV,,4.99,,,,s
Caolin,MICRO SA DE CV,MICRO SA DE CV,,4.99,,,,s
AGENTE VULCANIZANTE PARA LATEX,MICRO SA DE CV,MICRO SA DE CV,,4.99,,,,s
Elastico Negro De 1 Cm,Ganon distribuidora de Habilitaciones SAPI DE CV,Ganon distribuidora de Habilitaciones SAPI DE CV,,4.99,,,,s
Tela mezclilla indigo blue de 1.70 de ancho,Hector Jesus Guzman Lopez,Hector Jesus Guzman Lopez,,4.99,,,,s
Hilo Negro Para Costura,Texper SA DE CV,Texper SA DE CV,,4.99,,,,s
Pegamento instantaneo Industrial bote 20 gms,Industrias Kola Loka SA DE CV,Industrias Kola Loka SA DE CV,,4.99,,,,s
