Latex Natural,QUIMICA IBEROAMERICANA  SA DE CV,QUIMICA IBEROAMERICANA  SA DE CV,,11.64,,,,s
Caolin,MICRO SA DE CV,MICRO SA DE CV,,11.64,,,,s
AGENTE VULCANIZANTE PARA LATEX,MICRO SA DE CV,MICRO SA DE CV,,11.64,,,,s
