Hilo Negro Para Costura,Texper SA DE CV,Texper SA DE CV,,21.00,,,,s
Elastico Negro De 1 Cm,Ganon distribuidora de Habilitaciones SAPI DE CV,Ganon distribuidora de Habilitaciones SAPI DE CV,,21.00,,,,s
Tela Popelina 1.50 Ancho Color Negro,Carlos Alberto Guzman Rodriguez,Carlos Alberto Guzman Rodriguez,,21.00,,,,s
Peluche Negro Extralargo Estilo 100 Ancho 1.50,Pieltex SA DE CV,Pieltex SA DE CV,,21.00,,,,s
Esponja 5 Cm de Grosor X 1.20X190,PROVEEDOR NO ENCONTRADO,PROVEEDOR NO ENCONTRADO,,21.00,,,,s
