Latex Natural,QUIMICA IBEROAMERICANA  SA DE CV,QUIMICA IBEROAMERICANA  SA DE CV,,2.79,,,,s
Caolin,MICRO SA DE CV,MICRO SA DE CV,,2.79,,,,s
AGENTE VULCANIZANTE PARA LATEX,MICRO SA DE CV,MICRO SA DE CV,,2.79,,,,s
Hilo Cafe Castaño de costura D-13,PROVEEDOR NO ENCONTRADO,PROVEEDOR NO ENCONTRADO,,2.79,,,,s
Tela Vinil Amarillo B30 1.40 Ancho,PROVEEDOR NO ENCONTRADO,PROVEEDOR NO ENCONTRADO,,2.79,,,,s
