Latex Natural,QUIMICA IBEROAMERICANA  SA DE CV,QUIMICA IBEROAMERICANA  SA DE CV,,5.82,,,,s
Caolin,MICRO SA DE CV,MICRO SA DE CV,,5.82,,,,s
AGENTE VULCANIZANTE PARA LATEX,MICRO SA DE CV,MICRO SA DE CV,,5.82,,,,s
Elastico Blanco 1 Cm,Ganon distribuidora de Habilitaciones SAPI DE CV,Ganon distribuidora de Habilitaciones SAPI DE CV,,5.82,,,,s
Tela Soccer Verde Manzana 1.50 ancho,PROVEEDOR NO ENCONTRADO,PROVEEDOR NO ENCONTRADO,,5.82,,,,s
Pegamento instantaneo Industrial bote 20 gms,Industrias Kola Loka SA DE CV,Industrias Kola Loka SA DE CV,,5.82,,,,s
