Latex Natural,QUIMICA IBEROAMERICANA  SA DE CV,QUIMICA IBEROAMERICANA  SA DE CV,,10.00,,,,s
Caolin,MICRO SA DE CV,MICRO SA DE CV,,10.00,,,,s
AGENTE VULCANIZANTE PARA LATEX,MICRO SA DE CV,MICRO SA DE CV,,10.00,,,,s
Tela Manta De Cielo De 75 Cm De Ancho,Textilcom Porductos SA DE CV,Textilcom Porductos SA DE CV,,10.00,,,,s
Tela Yute Henequen De 1.20 Mtr,Textilcom SA DE CV,Textilcom SA DE CV,,10.00,,,,s
Cordon de yute 3mm,PROVEEDOR NO ENCONTRADO,PROVEEDOR NO ENCONTRADO,,10.00,,,,s
Lazo Yute De 1 Cabo,Empaques Industriales Plasticos,Empaques Industriales Plasticos,,10.00,,,,s
