Latex Natural,QUIMICA IBEROAMERICANA  SA DE CV,QUIMICA IBEROAMERICANA  SA DE CV,,5.58,,,,s
Caolin,MICRO SA DE CV,MICRO SA DE CV,,5.58,,,,s
AGENTE VULCANIZANTE PARA LATEX,MICRO SA DE CV,MICRO SA DE CV,,5.58,,,,s
