2026-08-11 11:32:26,347 - INFO - ==================================================
2026-08-11 11:32:26,347 - INFO - 🚀 Starting VUCEM Automation Bot
2026-08-11 11:32:26,348 - INFO - ==================================================
2026-08-11 11:32:26,351 - INFO - Cargando proveedores desde BOM...
2026-08-11 11:32:27,806 - INFO - ✅ 3588 proveedores cargados.
2026-08-11 11:32:27,847 - INFO - Cargando insumos por modelo desde BOM (solo categorías al INICIO)...
2026-08-11 11:32:32,256 - INFO - ✅ 1614 modelos con insumos cargados.
2026-08-11 11:32:32,257 - INFO - Procesando archivo maestro (hoja '2026')...
2026-08-11 11:32:32,390 - CRITICAL - ❌ Data preparation failed: 'Worksheet 2026 does not exist.'
2026-08-11 11:33:32,970 - INFO - ==================================================
2026-08-11 11:33:33,009 - INFO - 🚀 Starting VUCEM Automation Bot
2026-08-11 11:33:33,009 - INFO - ==================================================
2026-08-11 11:33:33,016 - INFO - Cargando proveedores desde BOM...
2026-08-11 11:33:34,361 - INFO - ✅ 3588 proveedores cargados.
2026-08-11 11:33:34,361 - INFO - Cargando insumos por modelo desde BOM (solo categorías al INICIO)...
2026-08-11 11:33:38,672 - INFO - ✅ 1614 modelos con insumos cargados.
2026-08-11 11:33:38,898 - INFO - ✅ Generado: PLANTILLA_000000030118_Porky_the_clown.csv (8 filas, 5 variables, col_G=8)
2026-08-11 11:33:38,900 - INFO - ✅ Generado: PLANTILLA_000000030138_Burger´s_Clown.csv (4 filas, 1 variables, col_G=4)
2026-08-11 11:33:38,902 - INFO - ✅ Generado: PLANTILLA_000000030143_Zippy.csv (4 filas, 1 variables, col_G=4)
2026-08-11 11:33:38,903 - INFO - ✅ Generado: PLANTILLA_000000030122_Amuck.csv (4 filas, 1 variables, col_G=4)
2026-08-11 11:33:38,905 - INFO - ✅ Generado: PLANTILLA_000000030159_Upside_Grin_Clown.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:38,908 - INFO - ✅ Generado: PLANTILLA_000000030137_Thug_Clown.csv (4 filas, 1 variables, col_G=4)
2026-08-11 11:33:38,911 - INFO - ✅ Generado: PLANTILLA_000000030120_Crispy.csv (6 filas, 3 variables, col_G=6)
2026-08-11 11:33:38,913 - INFO - ✅ Generado: PLANTILLA_000000030134_Mad_Clown_Biker.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:38,914 - INFO - ✅ Generado: PLANTILLA_000000030167_Spawlown.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:38,915 - INFO - ✅ Generado: PLANTILLA_000000030121_Bumpy.csv (4 filas, 1 variables, col_G=4)
2026-08-11 11:33:38,917 - INFO - ✅ Generado: PLANTILLA_000000030153_Igor.csv (4 filas, 1 variables, col_G=4)
2026-08-11 11:33:38,918 - INFO - ✅ Generado: PLANTILLA_000000030145_Creepy_T.W..csv (4 filas, 1 variables, col_G=4)
2026-08-11 11:33:38,920 - INFO - ✅ Generado: PLANTILLA_000000030148_Creepy_P..csv (4 filas, 1 variables, col_G=4)
2026-08-11 11:33:38,922 - INFO - ✅ Generado: PLANTILLA_000000030146_Creepy_D..csv (4 filas, 1 variables, col_G=4)
2026-08-11 11:33:38,926 - INFO - ✅ Generado: PLANTILLA_000000030147_Creepy_L.L..csv (4 filas, 1 variables, col_G=4)
2026-08-11 11:33:38,929 - INFO - ✅ Generado: PLANTILLA_000000149113_Marinero_Creepy.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:38,931 - INFO - ✅ Generado: PLANTILLA_000000030131_Creepyboobu.csv (4 filas, 1 variables, col_G=4)
2026-08-11 11:33:38,932 - INFO - ✅ Generado: PLANTILLA_000000030151_Mothman.csv (5 filas, 2 variables, col_G=5)
2026-08-11 11:33:38,933 - INFO - ✅ Generado: PLANTILLA_000000030114_Creepy_Peter.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:38,935 - INFO - ✅ Generado: PLANTILLA_000000030174_Crazy_Auguste.csv (4 filas, 1 variables, col_G=4)
2026-08-11 11:33:38,936 - INFO - ✅ Generado: PLANTILLA_000000030176_Brickie_zombie.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:38,938 - INFO - ✅ Generado: PLANTILLA_000000030175_Killer_Identity.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:38,943 - INFO - ✅ Generado: PLANTILLA_000000030171_J_the_Slayer.csv (5 filas, 2 variables, col_G=5)
2026-08-11 11:33:38,946 - INFO - ✅ Generado: PLANTILLA_000000071542_Fleshless_mouth.csv (5 filas, 2 variables, col_G=5)
2026-08-11 11:33:38,949 - INFO - ✅ Generado: PLANTILLA_000000030177_Zombie_pilot.csv (4 filas, 1 variables, col_G=4)
2026-08-11 11:33:38,951 - INFO - ✅ Generado: PLANTILLA_000000030133_Chopper_Rider.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:38,954 - INFO - ✅ Generado: PLANTILLA_000000030178_The_lord.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:38,963 - INFO - ✅ Generado: PLANTILLA_000000030162_Big_Horns_Skull.csv (5 filas, 2 variables, col_G=5)
2026-08-11 11:33:38,966 - INFO - ✅ Generado: PLANTILLA_000000030161_Big_Horns_Skull_Neon.csv (6 filas, 3 variables, col_G=6)
2026-08-11 11:33:38,970 - INFO - ✅ Generado: PLANTILLA_000000030132_Patrol_Skull.csv (3 filas, 0 variables, col_G=3)
2026-08-11 11:33:38,974 - INFO - ✅ Generado: PLANTILLA_000000030160_Big_Horns_Devil.csv (5 filas, 2 variables, col_G=5)
2026-08-11 11:33:38,979 - INFO - ✅ Generado: PLANTILLA_000000030164_Malebranche.csv (4 filas, 1 variables, col_G=4)
2026-08-11 11:33:38,982 - INFO - ✅ Generado: PLANTILLA_000000030123_Possessed_nun.csv (7 filas, 4 variables, col_G=7)
